Page,Button Position,Button Icon,Button States,CT Version,Purpose,Multi Action #,Channel,CC,Button Type,Value,Midi Out Port,Midi In Port,Result,Additional Files
B - Rmx Deck,Row 1 Col 1,Select,Slot 1-1,5,Optimise layout for mixing,1,10,31,Push,"0 (On), 127 (Off)",Traktor Virtual Input,Traktor Virtual Output,Sets Traktor's 'Layout Selector' to configured 'Decks' view,"src/traktor/CT6 - App Export.tsi,
src/traktor/CT6 - Streamdeck XL.tsi"
B - Rmx Deck,Row 1 Col 1,Select,Slot 1-1,5,Set the remix slot target for operations 'Slot Size /2' and 'Slot Size x2',2,10,50,Push,"127 (On), 0 (Off)",Traktor Virtual Input,Traktor Virtual Output,"Sets Traktor's 'Modifier 2' (for CT6 - Stream Deck XL) to '0' ('0' = Slot 1-1, '1' = Slot 1-2, '2' = Slot 1-3, '3' = Slot 1-4)",src/traktor/CT6 - Streamdeck XL.tsi
B - Rmx Deck,Row 1 Col 1,Select,Slot 1-1,5,Click the remix slot to select it,3,-,-,-,-,-,-,"Calls my Streamdeck Clicker plugin, performing a mouse click on 'Remix Deck C Row 1 Slot 1' on a 1366x1024 display",https://github.com/dotherightthing/streamdeck-clicker
B - Rmx Deck,Row 1 Col 2,Select,Slot 1-2,5,Optimise layout for mixing,1,10,31,Push,"0 (On), 127 (Off)",Traktor Virtual Input,Traktor Virtual Output,Sets Traktor's 'Layout Selector' to configured 'Decks' view,"src/traktor/CT6 - App Export.tsi,
src/traktor/CT6 - Streamdeck XL.tsi"
B - Rmx Deck,Row 1 Col 2,Select,Slot 1-2,5,Set the remix slot target for operations 'Slot Size /2' and 'Slot Size x2',2,10,51,Push,"127 (On), 0 (Off)",Traktor Virtual Input,Traktor Virtual Output,"Sets Traktor's 'Modifier 2' (for CT6 - Stream Deck XL) to '1' ('0' = Slot 1-1, '1' = Slot 1-2, '2' = Slot 1-3, '3' = Slot 1-4)",src/traktor/CT6 - Streamdeck XL.tsi
B - Rmx Deck,Row 1 Col 2,Select,Slot 1-2,5,Click the remix slot to select it,3,-,-,-,-,-,-,"Calls my Stream Deck Clicker plugin, performing a mouse click on 'Remix Deck C Row 1 Slot 2' on a 1366x1024 display",https://github.com/dotherightthing/streamdeck-clicker
B - Rmx Deck,Row 1 Col 3,Select,Slot 1-3,5,Optimise layout for mixing,1,10,31,Push,"0 (On), 127 (Off)",Traktor Virtual Input,Traktor Virtual Output,Sets Traktor's 'Layout Selector' to configured 'Decks' view,"src/traktor/CT6 - App Export.tsi,
src/traktor/CT6 - Streamdeck XL.tsi"
B - Rmx Deck,Row 1 Col 3,Select,Slot 1-3,5,Set the remix slot target for operations 'Slot Size /2' and 'Slot Size x2',2,10,52,Push,"127 (On), 0 (Off)",Traktor Virtual Input,Traktor Virtual Output,"Sets Traktor's 'Modifier 2' (for CT6 - Stream Deck XL) to '2' ('0' = Slot 1-1, '1' = Slot 1-2, '2' = Slot 1-3, '3' = Slot 1-4)",src/traktor/CT6 - Streamdeck XL.tsi
B - Rmx Deck,Row 1 Col 3,Select,Slot 1-3,5,Click the remix slot to select it,3,-,-,-,-,-,-,"Calls my Stream Deck Clicker plugin, performing a mouse click on 'Remix Deck C Row 1 Slot 3' on a 1366x1024 display",https://github.com/dotherightthing/streamdeck-clicker
B - Rmx Deck,Row 1 Col 4,Select,Slot 1-4,5,Optimise layout for mixing,1,10,31,Push,"0 (On), 127 (Off)",Traktor Virtual Input,Traktor Virtual Output,Sets Traktor's 'Layout Selector' to configured 'Decks' view,"src/traktor/CT6 - App Export.tsi,
src/traktor/CT6 - Streamdeck XL.tsi"
B - Rmx Deck,Row 1 Col 4,Select,Slot 1-4,5,Set the remix slot target for operations 'Slot Size /2' and 'Slot Size x2',2,10,53,Push,"127 (On), 0 (Off)",Traktor Virtual Input,Traktor Virtual Output,"Sets Traktor's 'Modifier 2' (for CT6 - Stream Deck XL) to '3' ('0' = Slot 1-1, '1' = Slot 1-2, '2' = Slot 1-3, '3' = Slot 1-4)",src/traktor/CT6 - Streamdeck XL.tsi
