Page,Button Position,Button Icon,Button States,CT Version,Purpose,Multi Action #,Channel,CC,Button Type,Value,Midi Out Port,Midi In Port,Result,Additional Files
Keyboard A-Z,Row 2 Col 5,L,-,5,Enter text (into the browser's search field),-,-,-,-,-,-,-,Type 'l',-
Keyboard A-Z,Row 2 Col 6,M,-,5,Enter text (into the browser's search field),-,-,-,-,-,-,-,Type 'm',-
Keyboard A-Z,Row 2 Col 7,N,-,5,Enter text (into the browser's search field),-,-,-,-,-,-,-,Type 'n',-
Keyboard A-Z,Row 3 Col 1,O,-,5,Enter text (into the browser's search field),-,-,-,-,-,-,-,Type 'o',-
Keyboard A-Z,Row 3 Col 2,P,-,5,Enter text (into the browser's search field),-,-,-,-,-,-,-,Type 'p',-
Keyboard A-Z,Row 3 Col 3,Q,-,5,Enter text (into the browser's search field),-,-,-,-,-,-,-,Type 'q',-
Keyboard A-Z,Row 3 Col 4,R,-,5,Enter text (into the browser's search field),-,-,-,-,-,-,-,Type 'r',-
Keyboard A-Z,Row 3 Col 5,S,-,5,Enter text (into the browser's search field),-,-,-,-,-,-,-,Type 's',-
Keyboard A-Z,Row 3 Col 6,T,-,5,Enter text (into the browser's search field),-,-,-,-,-,-,-,Type 't',-
Keyboard A-Z,Row 4 Col 1,U,-,5,Enter text (into the browser's search field),-,-,-,-,-,-,-,Type 'u',-
Keyboard A-Z,Row 4 Col 2,V,-,5,Enter text (into the browser's search field),-,-,-,-,-,-,-,Type 'v',-
Keyboard A-Z,Row 4 Col 3,W,-,5,Enter text (into the browser's search field),-,-,-,-,-,-,-,Type 'w',-
Keyboard A-Z,Row 4 Col 4,X,-,5,Enter text (into the browser's search field),-,-,-,-,-,-,-,Type 'x',-
Keyboard A-Z,Row 4 Col 5,Y,-,5,Enter text (into the browser's search field),-,-,-,-,-,-,-,Type 'y',-
Keyboard A-Z,Row 4 Col 6,Z,-,5,Enter text (into the browser's search field),-,-,-,-,-,-,-,Type 'z',-
